city,county,county_pene_rate,dist_sth,dist_sys_voters_pen,dist_voters_indist_est,dist_voters_indist_rate,distcen_hh_indist,in_district,state,sys_census_hh_pene_rate,sys_census_hh_zip_pene,sys_code,sys_media,sys_name,sys_subscribers,sys_type,system_type,zip_census_hh_in_zip,zip_code,zip_l2_voters_in_zip,zone_int
Somers Point,Atlantic,0.7346057,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",4648,08244,6400,9762
Stone Harbor,Cape May,0.9036052,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",404,08247,663,9762
Strathmere,Cape May,0.9036052,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",73,08248,136,9762
Villas,Cape May,0.9036052,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",4159,08251,5725,9762
Wildwood,Cape May,0.9036052,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",6433,08260,8414,9762
Woodbine,Cape May,0.9036052,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",2780,08270,5334,9762
Bridgeton,Cumberland,0.8863094,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",14353,08302,20752,9762
Buena,Atlantic,0.7346057,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",826,08310,1105,9762
Cedarville,Cumberland,0.8863094,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",691,08311,1095,9762
Clayton,Gloucester,0.8496726,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",2776,08312,4958,9762
Delmont,Cumberland,0.8863094,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",137,08314,185,9762
Dorothy,Atlantic,0.7346057,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",388,08317,764,9762
Elmer,Salem,0.6278211,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",4348,08318,7984,9762
Estell Manor,Atlantic,0.7346057,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",437,08319,964,9762
Franklinville,Gloucester,0.8496726,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",3669,08322,6775,9762
Greenwich,Cumberland,0.8863094,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",315,08323,534,9762
Heislerville,Cumberland,0.8863094,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",64,08324,258,9762
Landisville,Atlantic,0.7346057,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",543,08326,875,9762
Leesburg,Cumberland,0.8863094,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",129,08327,432,9762
Malaga,Gloucester,0.8496726,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",451,08328,829,9762
Mays Landing,Atlantic,0.7346057,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",10842,08330,17019,9762
Millville,Cumberland,0.8863094,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",14319,08332,21205,9762
Milmay,Atlantic,0.7346057,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",303,08340,597,9762
Minotola,Atlantic,0.7346057,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",754,08341,940,9762
